vintage,community,chicago,TOT,H,W,B,AIAN,ASIAN,NHPI,SOR,MULTI,TOT_ADULT,H_ADULT,W_ADULT,B_ADULT,AIAN_ADULT,ASIAN_ADULT,NHPI_ADULT,SOR_ADULT,MULTI_ADULT,TOT_CHILD,H_CHILD,W_CHILD,B_CHILD,AIAN_CHILD,ASIAN_CHILD,NHPI_CHILD,SOR_CHILD,MULTI_CHILD,DI,HOUSING_TOT,HOUSING_OCC,HOUSING_VAC,GC_TOT,GC_INST,GC_CORR,GC_JUV,GC_NURS,GC_INST_OTHER,GC_NONINST,GC_NONINST_COLLEGE,GC_NONINST_MIL,GC_NONINST_OTHER
2000,,FALSE,2481073,318113,1651835,336718,2501,133431,571,2960,34944,1829710,197831,1284630,225466,1813,97960,413,1593,20004,651363,120282,367205,111252,688,35471,158,1367,14940,0.518793502283975,,,,,,,,,,,,,
2000,ALBANY PARK,TRUE,57655,26741,15866,1907,133,10178,19,258,2553,26557,6757,17298,230,43,1472,5,50,702,31098,19984,-1432,1677,90,8706,14,208,1851,0.674906859009713,,,,,,,,,,,,,
2000,ARCHER HEIGHTS,TRUE,12644,5485,6752,74,6,48,7,14,258,5736,3186,1816,43,7,608,0,4,72,6908,2299,4936,31,-1,-560,7,10,186,0.526183741344632,,,,,,,,,,,,,
2000,ARMOUR SQUARE,TRUE,12032,448,2062,2046,9,7305,2,6,154,8433,56,106,8141,8,36,0,4,82,3599,392,1956,-6095,1,7269,2,2,72,0.571555265855768,,,,,,,,,,,,,
2000,ASHBURN,TRUE,39584,6674,14546,17045,34,408,0,37,840,12530,63,78,12256,10,14,0,6,103,27054,6611,14468,4789,24,394,0,31,737,0.650560066047035,,,,,,,,,,,,,
2000,AUBURN GRESHAM,TRUE,55928,347,237,54862,72,45,1,22,342,40796,629,12610,26991,39,96,11,29,391,15132,-282,-12373,27871,33,-51,-10,-7,-49,0.0376608436893167,,,,,,,,,,,,,
2000,AUSTIN,TRUE,117527,4841,5662,105369,100,642,16,68,829,50971,820,990,48660,45,174,3,38,241,66556,4021,4672,56709,55,468,13,30,588,0.19209725746401,,,,,,,,,,,,,
2000,AVALON PARK,TRUE,11147,85,96,10816,16,19,1,12,102,7749,119,89,7445,9,12,1,2,72,3398,-34,7,3371,7,7,0,10,30,0.0582842582180738,,,,,,,,,,,,,
2000,AVONDALE,TRUE,43083,26700,12757,669,83,953,22,64,1835,27875,19364,6082,1517,36,345,5,58,468,15208,7336,6675,-848,47,608,17,6,1367,0.525702159234833,,,,,,,,,,,,,
2000,BELMONT CRAGIN,TRUE,78144,50881,21881,2000,73,1989,14,77,1229,45893,29639,12742,778,78,914,13,74,1655,32251,21242,9139,1222,-5,1075,1,3,-426,0.496087770455044,,,,,,,,,,,,,
2000,BEVERLY,TRUE,21992,643,13814,7006,29,121,4,31,344,21990,539,15084,6040,12,97,5,18,195,2,104,-1270,966,17,24,-1,13,149,0.502822622691197,,,,,,,,,,,,,
2000,BRIDGEPORT,TRUE,33694,10165,13819,354,69,8808,6,26,447,23402,15031,5395,2503,24,173,6,18,252,10292,-4866,8424,-2149,45,8635,0,8,195,0.672149953987439,,,,,,,,,,,,,
2000,BRIGHTON PARK,TRUE,44912,34409,8300,221,59,1288,5,34,596,20476,7231,7872,113,32,4966,3,9,250,24436,27178,428,108,27,-3678,2,25,346,0.37784712254937,,,,,,,,,,,,,
2000,BURNSIDE,TRUE,3294,34,40,3180,1,7,0,0,32,4340,15,33,4263,3,2,0,5,19,-1046,19,7,-1083,-2,5,0,-5,13,0.0676660366459007,,,,,,,,,,,,,
2000,CALUMET HEIGHTS,TRUE,15974,747,206,14817,15,33,5,4,147,14318,95,115,14000,7,5,1,9,86,1656,652,91,817,8,28,4,-5,61,0.137171139297678,,,,,,,,,,,,,
2000,CHATHAM,TRUE,37275,220,121,36538,32,24,20,25,295,18851,3621,418,14558,26,29,2,11,186,18424,-3401,-297,21980,6,-5,18,14,109,0.0390431045922303,,,,,,,,,,,,,
2000,CHICAGO LAWN,TRUE,61412,21534,6190,32240,58,393,9,86,902,15136,158,74,14778,13,9,0,16,88,46276,21376,6116,17462,45,384,9,70,814,0.591024036295519,,,,,,,,,,,,,
2000,CLEARING,TRUE,22331,4688,17047,137,19,152,3,18,267,30795,10653,4002,15317,36,237,7,42,501,-8464,-5965,13045,-15180,-17,-85,-4,-24,-234,0.372953704678159,,,,,,,,,,,,,
2000,DOUGLAS,TRUE,26470,295,1745,22635,61,1390,9,32,303,11587,151,96,11216,17,11,4,7,85,14883,144,1649,11419,44,1379,5,25,218,0.261405895490957,,,,,,,,,,,,,
2000,DUNNING,TRUE,42164,5441,34394,234,29,1315,13,32,706,45346,25810,16633,790,43,1175,6,49,840,-3182,-20369,17761,-556,-14,140,7,-17,-134,0.316664310349959,,,,,,,,,,,,,
2000,EAST GARFIELD PARK,TRUE,20881,207,235,20296,7,25,4,14,93,12029,283,2332,9114,18,179,3,15,85,8852,-76,-2097,11182,-11,-154,1,-1,8,0.055000108126726,,,,,,,,,,,,,
2000,EAST SIDE,TRUE,23653,16113,6951,242,51,57,3,12,224,8216,1784,3523,2563,8,176,3,8,151,15437,14329,3428,-2321,43,-119,0,4,73,0.449366379622551,,,,,,,,,,,,,
2000,EDGEWATER,TRUE,62198,12176,29782,10564,167,7172,71,218,2048,41043,5313,27789,2635,104,3979,25,73,1125,21155,6863,1993,7929,63,3193,46,145,923,0.689154817713327,,,,,,,,,,,,,
2000,EDISON PARK,TRUE,11328,463,10572,19,6,200,0,5,63,11386,531,9731,42,13,942,2,2,123,-58,-68,841,-23,-7,-742,-2,3,-60,0.127004245766702,,,,,,,,,,,,,
2000,ENGLEWOOD,TRUE,40222,347,178,39352,37,27,6,25,250,25775,169,127,25202,31,22,3,31,190,14447,178,51,14150,6,5,3,-6,60,0.0426577030324422,,,,,,,,,,,,,
2000,FOREST GLEN,TRUE,18165,1389,14793,71,25,1586,3,8,290,19311,7491,8498,456,58,1966,5,72,765,-1146,-6102,6295,-385,-33,-380,-2,-64,-475,0.323061843490668,,,,,,,,,,,,,
2000,FULLER PARK,TRUE,3420,116,18,3225,10,6,3,7,35,3357,31,6,3297,6,0,0,1,16,63,85,12,-72,4,6,3,6,19,0.109484627748709,,,,,,,,,,,,,
2000,GAGE PARK,TRUE,39193,31079,4811,2743,61,161,4,21,313,28784,11774,12820,3558,27,235,5,23,342,10409,19305,-8009,-815,34,-74,-1,-2,-29,0.351143963844038,,,,,,,,,,,,,
2000,GARFIELD RIDGE,TRUE,36101,5948,24878,4419,27,328,13,16,472,36114,23119,11190,150,41,1011,8,36,559,-13,-17171,13688,4269,-14,-683,5,-20,-87,0.482727017615427,,,,,,,,,,,,,
2000,GRAND BOULEVARD,TRUE,28006,236,173,27370,26,21,1,26,153,28113,348,2638,23976,41,707,8,49,346,-107,-112,-2465,3394,-15,-686,-7,-23,-193,0.0447618194097612,,,,,,,,,,,,,
2000,GREATER GRAND CROSSING,TRUE,38619,276,146,37779,46,26,6,48,292,54824,4258,11739,37794,61,331,1,31,609,-16205,-3982,-11593,-15,-15,-305,5,17,-317,0.042902820649382,,,,,,,,,,,,,
2000,HEGEWISCH,TRUE,9781,2820,6553,130,26,32,2,17,201,2297,901,1315,21,1,12,1,0,46,7484,1919,5238,109,25,20,1,17,155,0.467392192042224,,,,,,,,,,,,,
2000,HERMOSA,TRUE,26908,22574,3086,649,25,319,2,38,215,14472,7543,5684,609,32,315,6,22,261,12436,15031,-2598,40,-7,4,-4,16,-46,0.282249877128414,,,,,,,,,,,,,
