GEOID,STATEFP,COUNTYFP,TRACTCE,NAME.x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT.x,INTPTLON.x,chicago,community,SUMLEV,GEOCOMP,STATE,COUNTY,TRACT,NAME.y,POP100,HU100,INTPTLAT.y,INTPTLON.y,TOT,H,W,B,AIAN,ASIAN,NHPI,SOR,MULTI,DI
17031510300,17,031,510300,5103,Census Tract 5103,G5020,S,2958348,0,+41.7157373,-087.5749771,TRUE,SOUTH DEERING,140,00,17,031,510300,Census Tract 5103,4850,2233,41.7157373,-87.5749771,4850,94,16,4609,8,1,0,12,110,0.0960024657243066
17031520100,17,031,520100,5201,Census Tract 5201,G5020,S,2581898,521681,+41.7211184,-087.5294325,TRUE,EAST SIDE,140,00,17,031,520100,Census Tract 5201,1745,669,41.7211184,-87.5294325,1745,1437,154,128,1,4,2,4,15,0.308599765190762
17031590700,17,031,590700,5907,Census Tract 5907,G5020,S,869830,12614,+41.8260539,-087.6627888,TRUE,MCKINLEY PARK,140,00,17,031,590700,Census Tract 5907,3027,1122,41.8260539,-87.6627888,3027,1941,331,63,2,630,0,9,51,0.532825100469522
17031600400,17,031,600400,6004,Census Tract 6004,G5020,S,327229,0,+41.8417183,-087.6439322,TRUE,BRIDGEPORT,140,00,17,031,600400,Census Tract 6004,4297,1774,41.8417183,-87.6439322,4297,539,939,43,0,2704,0,2,70,0.540158422166907
17031830600,17,031,830600,8306,Census Tract 8306,G5020,S,661394,0,+42.0016980,-087.6735738,TRUE,ROGERS PARK,140,00,17,031,830600,Census Tract 8306,4935,2294,42.001698,-87.6735738,4935,1933,1626,795,8,324,0,35,214,0.705823075872872
17031830800,17,031,830800,8308,Census Tract 8308,G5020,S,336529,0,+41.9651413,-087.6765775,TRUE,LINCOLN SQUARE,140,00,17,031,830800,Census Tract 8308,2405,1499,41.9651413,-87.6765775,2405,400,1661,75,6,144,0,9,110,0.488678039946231
17031830700,17,031,830700,8307,Census Tract 8307,G5020,S,861986,7945,+41.9583035,-087.6607646,TRUE,UPTOWN,140,00,17,031,830700,Census Tract 8307,4006,2214,41.9583035,-87.6607646,4006,548,1704,1267,10,291,4,10,172,0.693190493839869
17031830900,17,031,830900,8309,Census Tract 8309,G5020,S,990467,47216,+41.9284245,-087.6849065,TRUE,LOGAN SQUARE,140,00,17,031,830900,Census Tract 8309,3076,1459,41.9284245,-87.6849065,3076,969,1663,126,5,197,2,15,99,0.601631871225867
17031835200,17,031,835200,8352,Census Tract 8352,G5020,S,988538,0,+41.7966437,-087.7452866,TRUE,GARFIELD RIDGE,140,00,17,031,835200,Census Tract 8352,2038,743,41.7966437,-87.7452866,2038,1365,556,59,1,44,2,2,9,0.475647679371625
17031839900,17,031,839900,8399,Census Tract 8399,G5020,S,1153324,13899,+41.8273459,-087.6484540,TRUE,BRIDGEPORT,140,00,17,031,839900,Census Tract 8399,4431,2015,41.8273459,-87.648454,4431,1050,2127,133,5,950,0,19,147,0.665432771642682
17031839700,17,031,839700,8397,Census Tract 8397,G5020,S,618387,13451,+41.8336508,-087.6519488,TRUE,BRIDGEPORT,140,00,17,031,839700,Census Tract 8397,4545,2135,41.8336508,-87.6519488,4545,1449,1730,152,6,1064,0,32,112,0.696892219474973
17031839800,17,031,839800,8398,Census Tract 8398,G5020,S,266175,0,+41.8350674,-087.6431623,TRUE,BRIDGEPORT,140,00,17,031,839800,Census Tract 8398,2686,1282,41.8350674,-87.6431623,2686,538,1029,31,5,994,2,5,82,0.675094766221144
17031834800,17,031,834800,8348,Census Tract 8348,G5020,S,599866,0,+41.7836336,-087.6450883,TRUE,ENGLEWOOD,140,00,17,031,834800,Census Tract 8348,1753,981,41.7836336,-87.6450883,1753,127,9,1554,0,5,0,2,56,0.20784774792394
17031834700,17,031,834700,8347,Census Tract 8347,G5020,S,657991,0,+41.7906903,-087.6450334,TRUE,ENGLEWOOD,140,00,17,031,834700,Census Tract 8347,1759,908,41.7906903,-87.6450334,1759,153,11,1544,1,4,3,6,37,0.221449923256696
17031832000,17,031,832000,8320,Census Tract 8320,G5020,S,167585,0,+41.9462941,-087.6542982,TRUE,LAKE VIEW,140,00,17,031,832000,Census Tract 8320,2062,1176,41.9462941,-87.6542982,2062,187,1631,55,1,91,0,5,92,0.361470928848754
17031832500,17,031,832500,8325,Census Tract 8325,G5020,S,742894,38645,+41.9222304,-087.6647962,TRUE,LINCOLN PARK,140,00,17,031,832500,Census Tract 8325,3334,1605,41.9222304,-87.6647962,3334,272,2478,267,0,185,1,12,119,0.430142045975928
17031832300,17,031,832300,8323,Census Tract 8323,G5020,S,803547,37059,+41.9198264,-087.6727807,TRUE,LOGAN SQUARE,140,00,17,031,832300,Census Tract 8323,2054,1011,41.9198264,-87.6727807,2054,305,1431,47,0,156,3,6,106,0.483608585712539
17031838300,17,031,838300,8383,Census Tract 8383,G5020,S,348132,0,+41.9015665,-087.6384039,TRUE,NEAR NORTH SIDE,140,00,17,031,838300,Census Tract 8383,2580,1854,41.9015665,-87.6384039,2580,195,1309,776,5,216,0,9,70,0.63864190853915
17031831800,17,031,831800,8318,Census Tract 8318,G5020,S,1910736,0,+41.9782238,-087.7164874,TRUE,NORTH PARK,140,00,17,031,831800,Census Tract 8318,5868,2435,41.9782238,-87.7164874,5868,1574,2254,317,7,1429,3,67,217,0.716782217185256
17031831700,17,031,831700,8317,Census Tract 8317,G5020,S,532500,0,+41.9526537,-087.7452546,TRUE,PORTAGE PARK,140,00,17,031,831700,Census Tract 8317,2237,929,41.9526537,-87.7452546,2237,1128,856,66,2,121,2,3,59,0.594814843383587
