state,county,tract,SUMLEVEL,GEO_ID,GEOCOMP,LSAD_NAME,STATE,COUNTY,COUSUB,TRACT,BLKGRP,BLOCK,PLACE,CONCIT,SLDL,SLDU,VTD,PL001001,PL001002,PL001003,PL001004,PL001005,PL001006,PL001007,PL001008,PL001009,PL001010,PL001026,PL001047,PL001063,PL001070,PL002001,PL002002,PL002003,PL002004,PL002005,PL002006,PL002007,PL002008,PL002009,PL002010,PL002011,PL002012,PL002028,PL002049,PL002065,PL002072,PL003001,PL003002,PL003003,PL003004,PL003005,PL003006,PL003007,PL003008,PL003009,PL003010,PL003026,PL003047,PL003063,PL003070,PL004001,PL004002,PL004003,PL004004,PL004005,PL004006,PL004007,PL004008,PL004009,PL004010,PL004011,PL004012,PL004028,PL004049,PL004065,PL004072
17,197,8809,140,1400000US17197880900,00,Census Tract 8809,17,197,,8809,,,,,,,,8369,8238,7541,359,23,108,15,192,131,121,9,1,0,0,8369,632,7737,7657,7157,356,17,108,9,10,80,75,5,0,0,0,6417,6350,5848,265,19,82,7,129,67,64,2,1,0,0,6417,405,6012,5966,5594,264,15,82,5,6,46,44,2,0,0,0
17,197,881001,140,1400000US17197881001,00,Census Tract 8810.01,17,197,,881001,,,,,,,,4937,4905,4798,11,8,35,3,50,32,32,0,0,0,0,4937,194,4743,4719,4665,11,5,35,3,0,24,24,0,0,0,0,3563,3546,3475,8,7,22,2,32,17,17,0,0,0,0,3563,121,3442,3431,3395,8,4,22,2,0,11,11,0,0,0,0
17,197,881002,140,1400000US17197881002,00,Census Tract 8810.02,17,197,,881002,,,,,,,,4852,4815,4740,4,0,43,0,28,37,37,0,0,0,0,4852,173,4679,4651,4604,4,0,43,0,0,28,28,0,0,0,0,3233,3214,3160,3,0,35,0,16,19,19,0,0,0,0,3233,96,3137,3124,3086,3,0,35,0,0,13,13,0,0,0,0
17,197,881003,140,1400000US17197881003,00,Census Tract 8810.03,17,197,,881003,,,,,,,,5866,5810,5653,19,1,112,0,25,56,54,2,0,0,0,5866,195,5671,5625,5494,19,0,112,0,0,46,45,1,0,0,0,4036,4009,3892,14,0,85,0,18,27,25,2,0,0,0,4036,116,3920,3899,3800,14,0,85,0,0,21,20,1,0,0,0
17,197,881004,140,1400000US17197881004,00,Census Tract 8810.04,17,197,,881004,,,,,,,,7247,7182,6965,64,5,97,5,46,65,63,2,0,0,0,7247,214,7033,6982,6811,64,4,97,5,1,51,49,2,0,0,0,5202,5174,5025,41,4,73,2,29,28,28,0,0,0,0,5202,131,5071,5047,4928,41,3,73,2,0,24,24,0,0,0,0
17,197,881005,140,1400000US17197881005,00,Census Tract 8810.05,17,197,,881005,,,,,,,,3807,3764,3635,2,1,89,0,37,43,42,1,0,0,0,3807,134,3673,3633,3543,2,1,85,0,2,40,39,1,0,0,0,2655,2629,2539,0,1,64,0,25,26,25,1,0,0,0,2655,81,2574,2551,2486,0,1,62,0,2,23,22,1,0,0,0
17,197,881006,140,1400000US17197881006,00,Census Tract 8810.06,17,197,,881006,,,,,,,,2283,2255,2196,0,0,47,0,12,28,28,0,0,0,0,2283,97,2186,2166,2116,0,0,47,0,3,20,20,0,0,0,0,1675,1657,1614,0,0,38,0,5,18,18,0,0,0,0,1675,56,1619,1606,1568,0,0,38,0,0,13,13,0,0,0,0
17,197,881103,140,1400000US17197881103,00,Census Tract 8811.03,17,197,,881103,,,,,,,,5079,5041,4943,34,11,21,0,32,38,38,0,0,0,0,5079,142,4937,4916,4857,32,4,21,0,2,21,21,0,0,0,0,3630,3613,3545,25,7,13,0,23,17,17,0,0,0,0,3630,83,3547,3535,3494,23,4,13,0,1,12,12,0,0,0,0
17,197,881104,140,1400000US17197881104,00,Census Tract 8811.04,17,197,,881104,,,,,,,,10690,10605,10416,48,8,36,0,97,85,83,2,0,0,0,10690,350,10340,10284,10194,47,8,35,0,0,56,54,2,0,0,0,7370,7338,7213,29,5,27,0,64,32,31,1,0,0,0,7370,201,7169,7147,7087,29,5,26,0,0,22,21,1,0,0,0
17,197,881105,140,1400000US17197881105,00,Census Tract 8811.05,17,197,,881105,,,,,,,,4095,4069,3995,16,3,34,0,21,26,26,0,0,0,0,4095,124,3971,3947,3894,16,3,34,0,0,24,24,0,0,0,0,2978,2961,2911,9,2,23,0,16,17,17,0,0,0,0,2978,68,2910,2893,2859,9,2,23,0,0,17,17,0,0,0,0
17,197,881106,140,1400000US17197881106,00,Census Tract 8811.06,17,197,,881106,,,,,,,,9866,9794,9638,23,8,31,2,92,72,72,0,0,0,0,9866,330,9536,9489,9426,23,7,31,0,2,47,47,0,0,0,0,6495,6458,6348,14,8,19,2,67,37,37,0,0,0,0,6495,199,6296,6271,6229,14,7,19,0,2,25,25,0,0,0,0
17,197,8812,140,1400000US17197881200,00,Census Tract 8812,17,197,,8812,,,,,,,,4785,4712,1013,3405,37,35,0,222,73,62,4,0,7,0,4785,446,4339,4281,827,3397,16,31,0,10,58,48,3,0,7,0,2952,2922,767,1985,26,22,0,122,30,26,3,0,1,0,2952,263,2689,2664,646,1979,15,22,0,2,25,21,3,0,1,0
17,197,8813,140,1400000US17197881300,00,Census Tract 8813,17,197,,8813,,,,,,,,6885,6743,2516,1485,46,9,0,2687,142,142,0,0,0,0,6885,4641,2244,2224,734,1477,10,3,0,0,20,20,0,0,0,0,4983,4903,1860,1277,24,9,0,1733,80,80,0,0,0,0,4983,3026,1957,1944,662,1272,7,3,0,0,13,13,0,0,0,0
