state,county,SUMLEVEL,GEO_ID,GEOCOMP,LSAD_NAME,STATE,COUNTY,COUSUB,TRACT,BLKGRP,BLOCK,PLACE,CONCIT,SLDL,SLDU,VTD,PL001001,PL001002,PL001003,PL001004,PL001005,PL001006,PL001007,PL001008,PL001009,PL001010,PL001026,PL001047,PL001063,PL001070,PL002001,PL002002,PL002003,PL002004,PL002005,PL002006,PL002007,PL002008,PL002009,PL002010,PL002011,PL002012,PL002028,PL002049,PL002065,PL002072,PL003001,PL003002,PL003003,PL003004,PL003005,PL003006,PL003007,PL003008,PL003009,PL003010,PL003026,PL003047,PL003063,PL003070,PL004001,PL004002,PL004003,PL004004,PL004005,PL004006,PL004007,PL004008,PL004009,PL004010,PL004011,PL004012,PL004028,PL004049,PL004065,PL004072
01,001,050,0500000US01001,00,Autauga County,01,001,,,,,,,,,,43671,43266,35221,7473,194,200,13,165,405,388,17,0,0,0,43671,610,43061,42687,34823,7428,186,194,12,44,374,359,15,0,0,0,31177,30931,25476,5037,142,165,9,102,246,234,12,0,0,0,31177,406,30771,30540,25203,5009,137,161,9,21,231,221,10,0,0,0
01,003,050,0500000US01003,00,Baldwin County,01,003,,,,,,,,,,140415,138949,122366,14444,809,537,38,755,1466,1418,48,0,0,0,140415,2466,137949,136650,120868,14357,753,531,37,104,1299,1254,45,0,0,0,106095,105147,93921,9688,602,383,23,530,948,919,29,0,0,0,106095,1703,104392,103529,92861,9639,570,378,22,59,863,835,28,0,0,0
01,005,050,0500000US01005,00,Barbour County,01,005,,,,,,,,,,29038,28826,14887,13451,131,84,8,265,212,195,14,2,1,0,29038,478,28560,28369,14788,13369,119,83,6,4,191,176,13,2,0,0,21655,21508,11762,9340,105,67,6,228,147,133,11,2,1,0,21655,384,21271,21139,11687,9284,97,66,4,1,132,119,11,2,0,0
01,007,050,0500000US01007,00,Bibb County,01,007,,,,,,,,,,20826,20719,15966,4624,49,17,2,61,107,105,2,0,0,0,20826,210,20616,20519,15870,4584,46,17,2,0,97,95,2,0,0,0,15540,15477,12108,3269,41,13,2,44,63,61,2,0,0,0,15540,148,15392,15334,12035,3245,39,13,2,0,58,56,2,0,0,0
01,009,050,0500000US01009,00,Blount County,01,009,,,,,,,,,,51024,50505,48512,606,250,71,12,1054,519,501,13,5,0,0,51024,2718,48306,47899,46999,598,212,70,6,14,407,392,10,5,0,0,38076,37723,36447,423,162,56,8,627,353,343,8,2,0,0,38076,1707,36369,36075,35450,421,141,56,2,5,294,284,8,2,0,0
01,011,050,0500000US01011,00,Bullock County,01,011,,,,,,,,,,11714,11632,2958,8564,44,21,2,43,82,74,8,0,0,0,11714,322,11392,11315,2764,8486,37,21,1,6,77,70,7,0,0,0,8656,8592,2535,5969,40,12,2,34,64,56,8,0,0,0,8656,268,8388,8328,2361,5918,34,12,1,2,60,53,7,0,0,0
01,013,050,0500000US01013,00,Butler County,01,013,,,,,,,,,,21399,21315,12492,8732,45,35,0,11,84,76,8,0,0,0,21399,143,21256,21182,12429,8671,44,34,0,4,74,68,6,0,0,0,15645,15602,9693,5838,39,25,0,7,43,39,4,0,0,0,15645,111,15534,15494,9643,5786,38,25,0,2,40,36,4,0,0,0
01,015,050,0500000US01015,00,Calhoun County,01,015,,,,,,,,,,112249,111168,88537,20810,445,633,76,667,1081,1016,54,11,0,0,112249,1753,110496,109534,87598,20725,427,625,74,85,962,899,52,11,0,0,85793,85144,69238,14530,344,512,59,461,649,616,27,6,0,0,85793,1218,84575,83982,68570,14483,333,508,58,30,593,561,26,6,0,0
01,017,050,0500000US01017,00,Chambers County,01,017,,,,,,,,,,36583,36374,22271,13943,49,68,0,43,209,196,8,3,2,0,36583,280,36303,36113,22111,13872,49,68,0,13,190,179,7,2,2,0,27566,27428,17549,9755,42,51,0,31,138,131,4,2,1,0,27566,196,27370,27245,17445,9703,42,51,0,4,125,120,3,1,1,0
01,019,050,0500000US01019,00,Cherokee County,01,019,,,,,,,,,,23988,23790,22268,1330,75,34,0,83,198,185,4,9,0,0,23988,204,23784,23600,22164,1327,74,32,0,3,184,171,4,9,0,0,18668,18533,17421,982,56,30,0,44,135,126,3,6,0,0,18668,120,18548,18419,17354,980,55,29,0,1,129,120,3,6,0,0
01,021,050,0500000US01021,00,Chilton County,01,021,,,,,,,,,,39593,39318,34330,4200,111,72,6,599,275,263,8,1,3,0,39593,1152,38441,38222,33897,4131,111,65,2,16,219,207,8,1,3,0,29428,29256,25868,2824,82,51,4,427,172,161,7,1,3,0,29428,813,28615,28473,25574,2767,82,46,1,3,142,131,7,1,3,0
01,023,050,0500000US01023,00,Choctaw County,01,023,,,,,,,,,,15922,15855,8779,7027,25,7,0,17,67,60,7,0,0,0,15922,107,15815,15754,8724,6985,24,6,0,15,61,54,7,0,0,0,11774,11734,6823,4875,20,6,0,10,40,38,2,0,0,0,11774,82,11692,11655,6776,4846,19,6,0,8,37,35,2,0,0,0
01,025,050,0500000US01025,00,Clarke County,01,025,,,,,,,,,,27867,27731,15589,11989,62,45,1,45,136,127,9,0,0,0,27867,180,27687,27554,15519,11918,61,45,1,10,133,124,9,0,0,0,20056,19969,11822,8052,37,31,1,26,87,83,4,0,0,0,20056,119,19937,19852,11770,8011,36,31,1,3,85,81,4,0,0,0
01,027,050,0500000US01027,00,Clay County,01,027,,,,,,,,,,14254,14142,11776,2238,45,14,3,66,112,107,4,1,0,0,14254,253,14001,13895,11616,2219,44,12,1,3,106,101,4,1,0,0,10857,10786,9127,1559,34,12,2,52,71,67,3,1,0,0,10857,196,10661,10595,9006,1545,33,10,0,1,66,62,3,1,0,0
01,029,050,0500000US01029,00,Cleburne County,01,029,,,,,,,,,,14123,14014,13380,523,42,20,1,48,109,106,3,0,0,0,14123,198,13925,13818,13235,521,41,19,1,1,107,104,3,0,0,0,10688,10623,10159,376,29,18,1,40,65,64,1,0,0,0,10688,142,10546,10482,10060,374,29,18,1,0,64,63,1,0,0,0
01,031,050,0500000US01031,00,Coffee County,01,031,,,,,,,,,,43615,42885,33631,8013,396,414,41,390,730,701,26,1,2,0,43615,1183,42432,41814,32971,7950,386,409,40,58,618,594,21,1,2,0,32809,32401,25966,5571,266,340,28,230,408,387,18,1,2,0,32809,747,32062,31705,25528,5534,263,338,27,15,357,337,17,1,2,0
01,033,050,0500000US01033,00,Colbert County,01,033,,,,,,,,,,54984,54497,44825,9137,205,131,12,187,487,465,19,0,3,0,54984,618,54366,53929,44470,9096,195,127,11,30,437,423,14,0,0,0,41907,41605,34815,6432,140,95,10,113,302,293,6,0,3,0,41907,388,41519,41241,34595,6404,132,91,9,10,278,274,4,0,0,0
01,035,050,0500000US01035,00,Conecuh County,01,035,,,,,,,,,,14089,14005,7806,6136,28,16,7,12,84,76,7,0,1,0,14089,102,13987,13905,7760,6091,27,16,5,6,82,74,7,0,1,0,10441,10392,6206,4143,23,11,4,5,49,47,1,0,1,0,10441,76,10365,10318,6167,4114,23,11,2,1,47,45,1,0,1,0
01,037,050,0500000US01037,00,Coosa County,01,037,,,,,,,,,,12202,12095,7802,4172,39,5,1,76,107,102,4,0,1,0,12202,158,12044,11942,7742,4147,39,5,0,9,102,98,4,0,0,0,9311,9229,6123,3007,31,5,1,62,82,77,4,0,1,0,9311,126,9185,9107,6078,2991,31,5,0,2,78,74,4,0,0,0
01,039,050,0500000US01039,00,Covington County,01,039,,,,,,,,,,37631,37398,32436,4648,181,65,5,63,233,224,9,0,0,0,37631,292,37339,37123,32247,4618,180,64,3,11,216,209,7,0,0,0,28771,28608,25211,3167,143,50,5,32,163,160,3,0,0,0,28771,202,28569,28416,25071,3147,142,50,3,3,153,152,1,0,0,0
01,041,050,0500000US01041,00,Crenshaw County,01,041,,,,,,,,,,13665,13570,10088,3388,51,15,1,27,95,92,3,0,0,0,13665,87,13578,13489,10042,3369,51,15,1,11,89,86,3,0,0,0,10293,10240,7754,2436,27,13,1,9,53,50,3,0,0,0,10293,54,10239,10189,7724,2420,27,13,1,4,50,47,3,0,0,0
01,043,050,0500000US01043,00,Cullman County,01,043,,,,,,,,,,77483,76688,75011,743,290,140,27,477,795,756,37,2,0,0,77483,1688,75795,75127,73940,726,277,136,26,22,668,632,35,1,0,0,58693,58138,56899,570,214,104,19,332,555,532,21,2,0,0,58693,1112,57581,57111,56215,559,207,101,18,11,470,449,20,1,0,0
01,045,050,0500000US01045,00,Dale County,01,045,,,,,,,,,,49129,48075,36541,10002,297,529,72,634,1054,992,58,2,2,0,49129,1642,47487,46608,35771,9902,285,518,67,65,879,823,52,2,2,0,36082,35515,27885,6528,218,434,51,399,567,533,32,0,2,0,36082,1003,35079,34596,27410,6475,211,426,48,26,483,454,27,0,2,0
01,047,050,0500000US01047,00,Dallas County,01,047,,,,,,,,,,46365,46110,16496,29332,50,160,5,67,255,225,24,5,1,0,46365,290,46075,45852,16417,29201,47,157,4,26,223,194,24,5,0,0,33112,32946,13123,19626,42,121,2,32,166,142,19,4,1,0,33112,192,32920,32776,13061,19548,41,118,1,7,144,121,19,4,0,0
01,049,050,0500000US01049,00,DeKalb County,01,049,,,,,,,,,,64452,63411,59652,1083,518,124,36,1998,1041,1024,17,0,0,0,64452,3578,60874,60107,58436,1064,478,105,13,11,767,754,13,0,0,0,48553,47859,45318,752,365,90,25,1309,694,680,14,0,0,0,48553,2286,46267,45735,44566,742,335,81,10,1,532,521,11,0,0,0
01,051,050,0500000US01051,00,Elmore County,01,051,,,,,,,,,,65874,65189,50737,13597,286,238,18,313,685,621,61,3,0,0,65874,805,65069,64445,50376,13505,272,232,9,51,624,563,59,2,0,0,48950,48539,38077,9864,213,185,16,184,411,382,26,3,0,0,48950,526,48424,48036,37835,9797,204,182,7,11,388,361,25,2,0,0
01,053,050,0500000US01053,00,Escambia County,01,053,,,,,,,,,,38440,38006,24754,11837,1157,94,10,154,434,428,5,1,0,0,38440,379,38061,37655,24575,11799,1153,93,10,25,406,400,5,1,0,0,29170,28898,19334,8582,791,73,10,108,272,268,3,1,0,0,29170,261,28909,28651,19218,8551,789,72,10,11,258,254,3,1,0,0
