state,county,tract,SUMLEVEL,GEO_ID,GEOCOMP,LSAD_NAME,STATE,COUNTY,COUSUB,TRACT,BLKGRP,BLOCK,PLACE,CONCIT,SLDL,SLDU,VTD,P001001,P001002,P001003,P001004,P001005,P001006,P001007,P001008,P001009,P001010,P001026,P001047,P001063,P001070,P002001,P002002,P002003,P002004,P002005,P002006,P002007,P002008,P002009,P002010,P002011,P002012,P002028,P002049,P002065,P002072,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P003009,P003010,P003026,P003047,P003063,P003070,P004001,P004002,P004003,P004004,P004005,P004006,P004007,P004008,P004009,P004010,P004011,P004012,P004028,P004049,P004065,P004072,H001001,H001002,H001003
17,001,000100,140,1400000US17001000100,00,Census Tract 1,17,001,,000100,,,,,,,,4627,4551,4412,62,7,45,1,24,76,73,3,0,0,0,4627,72,4555,4487,4370,61,7,45,1,3,68,65,3,0,0,0,3663,3633,3538,43,7,32,0,13,30,29,1,0,0,0,3663,43,3620,3594,3512,43,7,32,0,0,26,25,1,0,0,0,2222,2115,107
17,001,000201,140,1400000US17001000201,00,Census Tract 2.01,17,001,,000201,,,,,,,,1986,1950,1882,53,2,9,1,3,36,35,1,0,0,0,1986,18,1968,1933,1868,53,2,9,1,0,35,35,0,0,0,0,1546,1538,1479,46,2,7,1,3,8,7,1,0,0,0,1546,15,1531,1524,1468,46,2,7,1,0,7,7,0,0,0,0,917,872,45
17,001,000202,140,1400000US17001000202,00,Census Tract 2.02,17,001,,000202,,,,,,,,2999,2948,2688,215,9,14,1,21,51,50,1,0,0,0,2999,62,2937,2890,2648,211,9,14,1,7,47,46,1,0,0,0,2447,2416,2192,187,7,13,1,16,31,30,1,0,0,0,2447,48,2399,2372,2162,184,7,13,1,5,27,26,1,0,0,0,1126,1046,80
17,001,000400,140,1400000US17001000400,00,Census Tract 4,17,001,,000400,,,,,,,,4322,4146,3527,582,9,13,0,15,176,167,9,0,0,0,4322,78,4244,4084,3493,562,7,13,0,9,160,153,7,0,0,0,3313,3238,2849,368,8,7,0,6,75,73,2,0,0,0,3313,50,3263,3198,2824,358,6,7,0,3,65,63,2,0,0,0,1793,1534,259
17,001,000500,140,1400000US17001000500,00,Census Tract 5,17,001,,000500,,,,,,,,2337,2267,1872,380,5,6,1,3,70,62,8,0,0,0,2337,18,2319,2255,1866,377,5,6,1,0,64,57,7,0,0,0,1759,1733,1475,244,4,6,1,3,26,21,5,0,0,0,1759,13,1746,1722,1469,242,4,6,1,0,24,20,4,0,0,0,1000,889,111
17,001,000600,140,1400000US17001000600,00,Census Tract 6,17,001,,000600,,,,,,,,3718,3648,3456,128,5,46,1,12,70,67,3,0,0,0,3718,44,3674,3609,3430,128,5,39,1,6,65,62,3,0,0,0,2841,2809,2687,82,4,32,1,3,32,31,1,0,0,0,2841,27,2814,2784,2668,82,4,28,1,1,30,29,1,0,0,0,1789,1629,160
17,001,000700,140,1400000US17001000700,00,Census Tract 7,17,001,,000700,,,,,,,,1481,1452,1278,153,5,9,0,7,29,29,0,0,0,0,1481,17,1464,1436,1268,153,5,9,0,1,28,28,0,0,0,0,1310,1295,1147,130,3,8,0,7,15,15,0,0,0,0,1310,14,1296,1282,1140,130,3,8,0,1,14,14,0,0,0,0,1017,849,168
17,001,000800,140,1400000US17001000800,00,Census Tract 8,17,001,,000800,,,,,,,,2711,2555,2317,184,18,11,1,24,156,147,9,0,0,0,2711,55,2656,2520,2293,184,18,11,1,13,136,130,6,0,0,0,1980,1930,1798,99,14,10,1,8,50,46,4,0,0,0,1980,25,1955,1910,1786,99,14,10,1,0,45,42,3,0,0,0,1218,1067,151
17,001,000900,140,1400000US17001000900,00,Census Tract 9,17,001,,000900,,,,,,,,2573,2515,2381,102,5,14,0,13,58,56,2,0,0,0,2573,37,2536,2484,2361,99,5,14,0,5,52,50,2,0,0,0,1976,1955,1855,75,5,12,0,8,21,20,1,0,0,0,1976,27,1949,1931,1840,73,5,12,0,1,18,17,1,0,0,0,1298,1169,129
17,001,001001,140,1400000US17001001001,00,Census Tract 10.01,17,001,,001001,,,,,,,,3391,3336,3241,58,3,20,3,11,55,47,8,0,0,0,3391,38,3353,3300,3216,54,3,19,3,5,53,45,8,0,0,0,2575,2551,2493,36,3,12,1,6,24,20,4,0,0,0,2575,18,2557,2533,2481,35,3,11,1,2,24,20,4,0,0,0,1515,1433,82
