state,county,SUMLEVEL,GEO_ID,GEOCOMP,LSAD_NAME,STATE,COUNTY,COUSUB,TRACT,BLKGRP,BLOCK,PLACE,CONCIT,SLDL,SLDU,VTD,P001001,P001002,P001003,P001004,P001005,P001006,P001007,P001008,P001009,P001010,P001026,P001047,P001063,P001070,P002001,P002002,P002003,P002004,P002005,P002006,P002007,P002008,P002009,P002010,P002011,P002012,P002028,P002049,P002065,P002072,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P003009,P003010,P003026,P003047,P003063,P003070,P004001,P004002,P004003,P004004,P004005,P004006,P004007,P004008,P004009,P004010,P004011,P004012,P004028,P004049,P004065,P004072,H001001,H001002,H001003
01,001,050,0500000US01001,00,Autauga County,01,001,,,,,,,,,,54571,53702,42855,9643,232,474,32,466,869,814,49,6,0,0,54571,1310,53261,52500,42154,9595,217,467,22,45,761,719,36,6,0,0,39958,39530,31910,6767,180,346,23,304,428,404,22,2,0,0,39958,828,39130,38746,31461,6738,169,341,15,22,384,363,19,2,0,0,22135,20221,1914
01,003,050,0500000US01003,00,Baldwin County,01,003,,,,,,,,,,182265,179542,156153,17105,1216,1348,89,3631,2723,2583,128,11,1,0,182265,7992,174273,171976,152200,16966,1146,1340,79,245,2297,2205,87,5,0,0,140367,138905,122238,12272,923,1002,70,2400,1462,1398,60,3,1,0,140367,5186,135181,133937,119671,12193,876,994,62,141,1244,1198,46,0,0,0,104061,73180,30881
01,005,050,0500000US01005,00,Barbour County,01,005,,,,,,,,,,27457,27199,13180,12875,114,107,29,894,258,254,3,0,0,1,27457,1387,26070,25861,12837,12820,60,107,24,13,209,206,2,0,0,1,21442,21275,10855,9647,86,80,24,583,167,163,3,0,0,1,21442,925,20517,20382,10624,9605,47,80,21,5,135,132,2,0,0,1,11829,9820,2009
01,007,050,0500000US01007,00,Bibb County,01,007,,,,,,,,,,22915,22712,17381,5047,64,22,13,185,203,195,8,0,0,0,22915,406,22509,22328,17191,5024,64,22,7,20,181,175,6,0,0,0,17714,17584,13403,3975,47,14,11,134,130,128,2,0,0,0,17714,310,17404,17284,13247,3963,47,14,5,8,120,119,1,0,0,0,8981,7953,1028
01,009,050,0500000US01009,00,Blount County,01,009,,,,,,,,,,57322,56638,53068,761,307,117,38,2347,684,662,21,1,0,0,57322,4626,52696,52129,50952,724,285,115,18,35,567,547,19,1,0,0,43216,42810,40515,549,227,91,23,1405,406,394,12,0,0,0,43216,2724,40492,40141,39285,524,212,89,14,17,351,341,10,0,0,0,23887,21578,2309
01,011,050,0500000US01011,00,Bullock County,01,011,,,,,,,,,,10914,10828,2507,7666,23,20,43,569,86,82,4,0,0,0,10914,777,10137,10078,2392,7637,20,20,4,5,59,56,3,0,0,0,8484,8432,2164,5838,21,17,31,361,52,49,3,0,0,0,8484,485,7999,7963,2102,5821,18,17,3,2,36,33,3,0,0,0,4493,3745,748
01,013,050,0500000US01013,00,Butler County,01,013,,,,,,,,,,20947,20786,11399,9095,60,177,7,48,161,153,8,0,0,0,20947,191,20756,20614,11324,9047,59,174,7,3,142,139,3,0,0,0,15891,15811,9109,6504,44,119,3,32,80,76,4,0,0,0,15891,130,15761,15694,9062,6468,43,117,3,1,67,65,2,0,0,0,9964,8491,1473
01,015,050,0500000US01015,00,Calhoun County,01,015,,,,,,,,,,118572,116597,88840,24382,540,845,96,1894,1975,1848,109,17,0,1,118572,3893,114679,112975,87285,24177,480,830,94,109,1704,1602,93,8,0,1,91446,90441,70313,17746,451,665,70,1196,1005,939,62,3,0,1,91446,2473,88973,88088,69294,17621,409,653,69,42,885,826,56,2,0,1,53289,47331,5958
01,017,050,0500000US01017,00,Chambers County,01,017,,,,,,,,,,34215,33830,20112,13257,69,168,10,214,385,373,11,1,0,0,34215,536,33679,33352,19893,13206,57,166,7,23,327,317,10,0,0,0,26512,26332,16182,9798,58,138,6,150,180,173,6,1,0,0,26512,364,26148,25995,16037,9761,48,136,3,10,153,148,5,0,0,0,17004,13933,3071
01,019,050,0500000US01019,00,Cherokee County,01,019,,,,,,,,,,25989,25602,24081,1208,135,54,1,123,387,376,11,0,0,0,25989,320,25669,25322,23929,1206,122,49,1,15,347,337,10,0,0,0,20423,20216,19090,909,105,35,1,76,207,202,5,0,0,0,20423,171,20252,20051,19005,909,99,32,1,5,201,196,5,0,0,0,16267,10626,5641
