name,label,concept,predicateType,group,limit,hasGeoCollectionSupport,required,attributes
PL001004,Total!!Population of one race!!Black or African American alone,RACE [71],int,PL001,0,,,
PL001003,Total!!Population of one race!!White alone,RACE [71],int,PL001,0,,,
PL001002,Total!!Population of one race,RACE [71],int,PL001,0,,,
PL001001,Total,RACE [71],,PL001,0,,,
PL004073,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of six races!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004070,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004072,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of six races,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004071,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL001011,Total!!Population of two or more races!!Population of two races!!White; Black or African American,RACE [71],int,PL001,0,,,
PL001010,Total!!Population of two or more races!!Population of two races,RACE [71],int,PL001,0,,,
GEOVARIANT,Geographic variant,,string,N/A,0,,,
PL001015,Total!!Population of two or more races!!Population of two races!!White; Some other race,RACE [71],int,PL001,0,,,
PL001014,Total!!Population of two or more races!!Population of two races!!White; Native Hawaiian and Other Pacific Islander,RACE [71],int,PL001,0,,,
PL001013,Total!!Population of two or more races!!Population of two races!!White; Asian,RACE [71],int,PL001,0,,,
PL001012,Total!!Population of two or more races!!Population of two races!!White; American Indian and Alaska Native,RACE [71],int,PL001,0,,,
SUMLEVEL,Summary Level code,,string,N/A,0,,,
PL001008,Total!!Population of one race!!Some other race alone,RACE [71],int,PL001,0,,,
PL001007,Total!!Population of one race!!Native Hawaiian and Other Pacific Islander alone,RACE [71],int,PL001,0,,,
CD106,Congressional District (106th),,,N/A,0,,,
PL001006,Total!!Population of one race!!Asian alone,RACE [71],int,PL001,0,,,
PL001005,Total!!Population of one race!!American Indian and Alaska Native alone,RACE [71],int,PL001,0,,,
PL001009,Total!!Population of two or more races,RACE [71],int,PL001,0,,,
PL004059,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Asian; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004056,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004055,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004058,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004057,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Asian; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004052,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004051,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004054,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; Asian; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004053,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004050,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Asian,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004067,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Asian; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004066,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004069,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004068,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
PL004063,Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,"HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE FOR THE POPULATION 18 YEARS AND OVER [73]",int,PL004,0,,,
